organizationname,organizationid,locationid,locationname,catalogid,catalogname,is_catalog_deleted,catalog_created_on,catalog_modified_on,id,menuitemid,menuitemname,guest,effective_date,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,itemunitprice,price_changed_on,sysinserttime,sysupdatetime,catalogid,average_rating,rating_count
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189760,itm-430eb791-0d73-4aad-82b3-1d621ec9f056,Fusion Fries,1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585473,14.990,2026-03-20 19:23:54.984009,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189834,itm-c558bf87-257b-406d-974b-4a75eca3e74b,Southwest Salad,1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585474,13.990,2026-03-20 19:23:54.988463,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189773,itm-cffb5cd5-2086-41a6-9b7f-8e2123e6aa14,Texas Caesar Salad,1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585474,12.990,2026-03-20 19:23:54.994674,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189831,itm-a1914b79-d57b-45ea-b219-e4089c188687,Mac & Cheese,1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:39:24.592441,4.990,2026-03-20 19:23:54.998499,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189808,itm-4c9dce68-c404-425c-845a-df20eeaa1063,Chicken Tortilla Soup,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.070169,4.990,2026-03-20 19:23:55.003663,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189794,itm-c51db4d9-be7c-4410-b3d5-700271f59219,Fries (side),1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.062712,4.990,2026-03-20 19:23:55.009438,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189799,itm-5f12f99b-b154-4288-953e-9085b5d59872,5 pc Nuggets (a la carte),1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.935125,3.990,2026-03-20 19:23:55.014095,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189821,itm-d99e0c53-7e9d-456c-acb2-c2a708aaa3e4,10 pc Nuggets (a la carte),1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.994482,7.990,2026-03-20 19:23:55.018574,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189818,itm-780326ce-0976-48b5-8781-ef0bdc223a8e,15 pc Nuggets (a la carte),1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.957963,11.990,2026-03-20 19:23:55.023414,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189771,itm-aa60c30f-a262-44b0-9a6a-60e914a6b2ee,Waffle (a la carte),1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.09008,3.990,2026-03-20 19:23:55.027061,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
